Tom Reed,1997-01-13,American,SG,Sharp Shooter,FTL,76,205,2019,2023:3800000;2024:4000000;2025:4200000;2026:4400000,70,80,88,89,57,64,48,65,70,65,67,77,75,83,85,70,66,81
David Green,1991-07-30,American,PF,Crafty Big,FTL,81,230,2013,2023:5500000;2024:5700000;2025:5900000;2026:6100000,73,77,85,86,76,68,70,74,76,72,75,70,73,79,68,72,77,74
Brian Carter,1999-03-12,American,C,Rim Protector,FTL,85,260,2021,2023:3400000;2024:3600000;2025:3800000;2026:4000000,68,64,50,78,87,78,91,80,88,66,67,54,58,75,72,69,74,66
Steven Hall,1995-10-24,American,SF,Versatile Wing,FTL,80,215,2017,2023:4700000;2024:4900000;2025:5100000;2026:5300000,72,74,77,84,80,85,80,73,75,77,78,76,77,82,84,75,71,80
Anthony Lewis,1994-06-18,American,PG,Inside Scorer,FTL,73,185,2016,2023:6300000;2024:6500000;2025:6700000;2026:6900000,69,82,80,91,65,77,55,70,68,84,80,88,85,80,79,78,82,84
Derrick Wright,1996-12-29,American,SG,Defensive Specialist,FTL,77,210,2018,2023:4100000;2024:4300000;2025:4500000;2026:4700000,66,71,73,76,72,86,82,76,67,70,72,71,73,80,87,71,68,77
Justin Barnes,1990-09-01,American,PF,Versatile Wing,FTL,83,245,2012,2023:5800000;2024:6000000;2025:6200000;2026:6400000,76,73,79,82,78,72,75,79,80,74,76,73,76,77,73,77,75,79
Kyle Robinson,1998-03-25,American,C,Rim Protector,FTL,86,265,2020,2023:3900000;2024:4100000;2025:4300000;2026:4500000,79,66,54,79,85,82,87,81,86,67,70,60,63,76,74,73,69,70
Mark Johnson,1992-04-10,American,PF,Rim Protector,RAL,82,240,2014,2023:5000000;2024:5200000;2025:5400000;2026:5600000,74,68,63,80,88,79,85,72,85,70,72,65,67,82,83,74,68,76
Eric Daniels,1993-11-15,American,C,Inside Scorer,RAL,84,255,2015,2023:4500000;2024:4700000;2025:4900000;2026:5100000,81,70,58,85,80,75,88,78,83,68,69,59,64,78,71,76,70,69
Greg White,1998-02-20,American,SF,Slasher,RAL,79,220,2020,2023:4200000;2024:4400000;2025:4600000;2026:4800000,77,75,69,82,70,72,60,69,71,75,76,80,78,86,88,79,65,78
Chris King,1996-08-05,American,PG,Floor General,RAL,74,190,2018,2023:6000000;2024:6200000;2025:6400000;2026:6600000,65,78,76,92,60,80,52,68,64,80,83,85,88,81,77,67,80,85
Tom Reed,1997-01-13,American,SG,Sharp Shooter,RAL,76,205,2019,2023:3800000;2024:4000000;2025:4200000;2026:4400000,70,80,88,89,57,64,48,65,70,65,67,77,75,83,85,70,66,81
David Green,1991-07-30,American,PF,Crafty Big,RAL,81,230,2013,2023:5500000;2024:5700000;2025:5900000;2026:6100000,73,77,85,86,76,68,70,74,76,72,75,70,73,79,68,72,77,74
Brian Carter,1999-03-12,American,C,Rim Protector,RAL,85,260,2021,2023:3400000;2024:3600000;2025:3800000;2026:4000000,68,64,50,78,87,78,91,80,88,66,67,54,58,75,72,69,74,66
Steven Hall,1995-10-24,American,SF,Versatile Wing,RAL,80,215,2017,2023:4700000;2024:4900000;2025:5100000;2026:5300000,72,74,77,84,80,85,80,73,75,77,78,76,77,82,84,75,71,80
Anthony Lewis,1994-06-18,American,PG,Inside Scorer,RAL,73,185,2016,2023:6300000;2024:6500000;2025:6700000;2026:6900000,69,82,80,91,65,77,55,70,68,84,80,88,85,80,79,78,82,84
Derrick Wright,1996-12-29,American,SG,Defensive Specialist,RAL,77,210,2018,2023:4100000;2024:4300000;2025:4500000;2026:4700000,66,71,73,76,72,86,82,76,67,70,72,71,73,80,87,71,68,77
Justin Barnes,1990-09-01,American,PF,Versatile Wing,RAL,83,245,2012,2023:5800000;2024:6000000;2025:6200000;2026:6400000,76,73,79,82,78,72,75,79,80,74,76,73,76,77,73,77,75,79
Kyle Robinson,1998-03-25,American,C,Rim Protector,RAL,86,265,2020,2023:3900000;2024:4100000;2025:4300000;2026:4500000,79,66,54,79,85,82,87,81,86,67,70,60,63,76,74,73,69,70
Mark Johnson,1992-04-10,American,PF,Rim Protector,SAV,82,240,2014,2023:5000000;2024:5200000;2025:5400000;2026:5600000,74,68,63,80,88,79,85,72,85,70,72,65,67,82,83,74,68,76
Eric Daniels,1993-11-15,American,C,Inside Scorer,SAV,84,255,2015,2023:4500000;2024:4700000;2025:4900000;2026:5100000,81,70,58,85,80,75,88,78,83,68,69,59,64,78,71,76,70,69
Greg White,1998-02-20,American,SF,Slasher,SAV,79,220,2020,2023:4200000;2024:4400000;2025:4600000;2026:4800000,77,75,69,82,70,72,60,69,71,75,76,80,78,86,88,79,65,78
Chris King,1996-08-05,American,PG,Floor General,SAV,74,190,2018,2023:6000000;2024:6200000;2025:6400000;2026:6600000,65,78,76,92,60,80,52,68,64,80,83,85,88,81,77,67,80,85
Tom Reed,1997-01-13,American,SG,Sharp Shooter,SAV,76,205,2019,2023:3800000;2024:4000000;2025:4200000;2026:4400000,70,80,88,89,57,64,48,65,70,65,67,77,75,83,85,70,66,81
David Green,1991-07-30,American,PF,Crafty Big,SAV,81,230,2013,2023:5500000;2024:5700000;2025:5900000;2026:6100000,73,77,85,86,76,68,70,74,76,72,75,70,73,79,68,72,77,74
Brian Carter,1999-03-12,American,C,Rim Protector,SAV,85,260,2021,2023:3400000;2024:3600000;2025:3800000;2026:4000000,68,64,50,78,87,78,91,80,88,66,67,54,58,75,72,69,74,66
Steven Hall,1995-10-24,American,SF,Versatile Wing,SAV,80,215,2017,2023:4700000;2024:4900000;2025:5100000;2026:5300000,72,74,77,84,80,85,80,73,75,77,78,76,77,82,84,75,71,80
Anthony Lewis,1994-06-18,American,PG,Inside Scorer,SAV,73,185,2016,2023:6300000;2024:6500000;2025:6700000;2026:6900000,69,82,80,91,65,77,55,70,68,84,80,88,85,80,79,78,82,84
Derrick Wright,1996-12-29,American,SG,Defensive Specialist,SAV,77,210,2018,2023:4100000;2024:4300000;2025:4500000;2026:4700000,66,71,73,76,72,86,82,76,67,70,72,71,73,80,87,71,68,77
Justin Barnes,1990-09-01,American,PF,Versatile Wing,SAV,83,245,2012,2023:5800000;2024:6000000;2025:6200000;2026:6400000,76,73,79,82,78,72,75,79,80,74,76,73,76,77,73,77,75,79
Kyle Robinson,1998-03-25,American,C,Rim Protector,SAV,86,265,2020,2023:3900000;2024:4100000;2025:4300000;2026:4500000,79,66,54,79,85,82,87,81,86,67,70,60,63,76,74,73,69,70
Mark Johnson,1992-04-10,American,PF,Rim Protector,SRQ,82,240,2014,2023:5000000;2024:5200000;2025:5400000;2026:5600000,74,68,63,80,88,79,85,72,85,70,72,65,67,82,83,74,68,76
Eric Daniels,1993-11-15,American,C,Inside Scorer,SRQ,84,255,2015,2023:4500000;2024:4700000;2025:4900000;2026:5100000,81,70,58,85,80,75,88,78,83,68,69,59,64,78,71,76,70,69
Greg White,1998-02-20,American,SF,Slasher,SRQ,79,220,2020,2023:4200000;2024:4400000;2025:4600000;2026:4800000,77,75,69,82,70,72,60,69,71,75,76,80,78,86,88,79,65,78
Chris King,1996-08-05,American,PG,Floor General,SRQ,74,190,2018,2023:6000000;2024:6200000;2025:6400000;2026:6600000,65,78,76,92,60,80,52,68,64,80,83,85,88,81,77,67,80,85
Tom Reed,1997-01-13,American,SG,Sharp Shooter,SRQ,76,205,2019,2023:3800000;2024:4000000;2025:4200000;2026:4400000,70,80,88,89,57,64,48,65,70,65,67,77,75,83,85,70,66,81
David Green,1991-07-30,American,PF,Crafty Big,SRQ,81,230,2013,2023:5500000;2024:5700000;2025:5900000;2026:6100000,73,77,85,86,76,68,70,74,76,72,75,70,73,79,68,72,77,74
Brian Carter,1999-03-12,American,C,Rim Protector,SRQ,85,260,2021,2023:3400000;2024:3600000;2025:3800000;2026:4000000,68,64,50,78,87,78,91,80,88,66,67,54,58,75,72,69,74,66
Steven Hall,1995-10-24,American,SF,Versatile Wing,SRQ,80,215,2017,2023:4700000;2024:4900000;2025:5100000;2026:5300000,72,74,77,84,80,85,80,73,75,77,78,76,77,82,84,75,71,80
Anthony Lewis,1994-06-18,American,PG,Inside Scorer,SRQ,73,185,2016,2023:6300000;2024:6500000;2025:6700000;2026:6900000,69,82,80,91,65,77,55,70,68,84,80,88,85,80,79,78,82,84
Derrick Wright,1996-12-29,American,SG,Defensive Specialist,SRQ,77,210,2018,2023:4100000;2024:4300000;2025:4500000;2026:4700000,66,71,73,76,72,86,82,76,67,70,72,71,73,80,87,71,68,77
Justin Barnes,1990-09-01,American,PF,Versatile Wing,SRQ,83,245,2012,2023:5800000;2024:6000000;2025:6200000;2026:6400000,76,73,79,82,78,72,75,79,80,74,76,73,76,77,73,77,75,79
Kyle Robinson,1998-03-25,American,C,Rim Protector,SRQ,86,265,2020,2023:3900000;2024:4100000;2025:4300000;2026:4500000,79,66,54,79,85,82,87,81,86,67,70,60,63,76,74,73,69,70
Mark Johnson,1992-04-10,American,PF,Rim Protector,NAP,82,240,2014,2023:5000000;2024:5200000;2025:5400000;2026:5600000,74,68,63,80,88,79,85,72,85,70,72,65,67,82,83,74,68,76
Eric Daniels,1993-11-15,American,C,Inside Scorer,NAP,84,255,2015,2023:4500000;2024:4700000;2025:4900000;2026:5100000,81,70,58,85,80,75,88,78,83,68,69,59,64,78,71,76,70,69
Greg White,1998-02-20,American,SF,Slasher,NAP,79,220,2020,2023:4200000;2024:4400000;2025:4600000;2026:4800000,77,75,69,82,70,72,60,69,71,75,76,80,78,86,88,79,65,78
Chris King,1996-08-05,American,PG,Floor General,NAP,74,190,2018,2023:6000000;2024:6200000;2025:6400000;2026:6600000,65,78,76,92,60,80,52,68,64,80,83,85,88,81,77,67,80,85
Tom Reed,1997-01-13,American,SG,Sharp Shooter,NAP,76,205,2019,2023:3800000;2024:4000000;2025:4200000;2026:4400000,70,80,88,89,57,64,48,65,70,65,67,77,75,83,85,70,66,81
David Green,1991-07-30,American,PF,Crafty Big,NAP,81,230,2013,2023:5500000;2024:5700000;2025:5900000;2026:6100000,73,77,85,86,76,68,70,74,76,72,75,70,73,79,68,72,77,74
Brian Carter,1999-03-12,American,C,Rim Protector,NAP,85,260,2021,2023:3400000;2024:3600000;2025:3800000;2026:4000000,68,64,50,78,87,78,91,80,88,66,67,54,58,75,72,69,74,66
Steven Hall,1995-10-24,American,SF,Versatile Wing,NAP,80,215,2017,2023:4700000;2024:4900000;2025:5100000;2026:5300000,72,74,77,84,80,85,80,73,75,77,78,76,77,82,84,75,71,80
Anthony Lewis,1994-06-18,American,PG,Inside Scorer,NAP,73,185,2016,2023:6300000;2024:6500000;2025:6700000;2026:6900000,69,82,80,91,65,77,55,70,68,84,80,88,85,80,79,78,82,84
Derrick Wright,1996-12-29,American,SG,Defensive Specialist,NAP,77,210,2018,2023:4100000;2024:4300000;2025:4500000;2026:4700000,66,71,73,76,72,86,82,76,67,70,72,71,73,80,87,71,68,77
Justin Barnes,1990-09-01,American,PF,Versatile Wing,NAP,83,245,2012,2023:5800000;2024:6000000;2025:6200000;2026:6400000,76,73,79,82,78,72,75,79,80,74,76,73,76,77,73,77,75,79
Kyle Robinson,1998-03-25,American,C,Rim Protector,NAP,86,265,2020,2023:3900000;2024:4100000;2025:4300000;2026:4500000,79,66,54,79,85,82,87,81,86,67,70,60,63,76,74,73,69,70
Mark Johnson,1992-04-10,American,PF,Rim Protector,BOI,82,240,2014,2023:5000000;2024:5200000;2025:5400000;2026:5600000,74,68,63,80,88,79,85,72,85,70,72,65,67,82,83,74,68,76
Eric Daniels,1993-11-15,American,C,Inside Scorer,BOI,84,255,2015,2023:4500000;2024:4700000;2025:4900000;2026:5100000,81,70,58,85,80,75,88,78,83,68,69,59,64,78,71,76,70,69
Greg White,1998-02-20,American,SF,Slasher,BOI,79,220,2020,2023:4200000;2024:4400000;2025:4600000;2026:4800000,77,75,69,82,70,72,60,69,71,75,76,80,78,86,88,79,65,78
Chris King,1996-08-05,American,PG,Floor General,BOI,74,190,2018,2023:6000000;2024:6200000;2025:6400000;2026:6600000,65,78,76,92,60,80,52,68,64,80,83,85,88,81,77,67,80,85
Tom Reed,1997-01-13,American,SG,Sharp Shooter,BOI,76,205,2019,2023:3800000;2024:4000000;2025:4200000;2026:4400000,70,80,88,89,57,64,48,65,70,65,67,77,75,83,85,70,66,81
David Green,1991-07-30,American,PF,Crafty Big,BOI,81,230,2013,2023:5500000;2024:5700000;2025:5900000;2026:6100000,73,77,85,86,76,68,70,74,76,72,75,70,73,79,68,72,77,74
Brian Carter,1999-03-12,American,C,Rim Protector,BOI,85,260,2021,2023:3400000;2024:3600000;2025:3800000;2026:4000000,68,64,50,78,87,78,91,80,88,66,67,54,58,75,72,69,74,66
Steven Hall,1995-10-24,American,SF,Versatile Wing,BOI,80,215,2017,2023:4700000;2024:4900000;2025:5100000;2026:5300000,72,74,77,84,80,85,80,73,75,77,78,76,77,82,84,75,71,80
Anthony Lewis,1994-06-18,American,PG,Inside Scorer,BOI,73,185,2016,2023:6300000;2024:6500000;2025:6700000;2026:6900000,69,82,80,91,65,77,55,70,68,84,80,88,85,80,79,78,82,84
Derrick Wright,1996-12-29,American,SG,Defensive Specialist,BOI,77,210,2018,2023:4100000;2024:4300000;2025:4500000;2026:4700000,66,71,73,76,72,86,82,76,67,70,72,71,73,80,87,71,68,77
Justin Barnes,1990-09-01,American,PF,Versatile Wing,BOI,83,245,2012,2023:5800000;2024:6000000;2025:6200000;2026:6400000,76,73,79,82,78,72,75,79,80,74,76,73,76,77,73,77,75,79
Kyle Robinson,1998-03-25,American,C,Rim Protector,BOI,86,265,2020,2023:3900000;2024:4100000;2025:4300000;2026:4500000,79,66,54,79,85,82,87,81,86,67,70,60,63,76,74,73,69,70
Mark Johnson,1992-04-10,American,PF,Rim Protector,SLC,82,240,2014,2023:5000000;2024:5200000;2025:5400000;2026:5600000,74,68,63,80,88,79,85,72,85,70,72,65,67,82,83,74,68,76
Eric Daniels,1993-11-15,American,C,Inside Scorer,SLC,84,255,2015,2023:4500000;2024:4700000;2025:4900000;2026:5100000,81,70,58,85,80,75,88,78,83,68,69,59,64,78,71,76,70,69
Greg White,1998-02-20,American,SF,Slasher,SLC,79,220,2020,2023:4200000;2024:4400000;2025:4600000;2026:4800000,77,75,69,82,70,72,60,69,71,75,76,80,78,86,88,79,65,78
Chris King,1996-08-05,American,PG,Floor General,SLC,74,190,2018,2023:6000000;2024:6200000;2025:6400000;2026:6600000,65,78,76,92,60,80,52,68,64,80,83,85,88,81,77,67,80,85
Tom Reed,1997-01-13,American,SG,Sharp Shooter,SLC,76,205,2019,2023:3800000;2024:4000000;2025:4200000;2026:4400000,70,80,88,89,57,64,48,65,70,65,67,77,75,83,85,70,66,81
David Green,1991-07-30,American,PF,Crafty Big,SLC,81,230,2013,2023:5500000;2024:5700000;2025:5900000;2026:6100000,73,77,85,86,76,68,70,74,76,72,75,70,73,79,68,72,77,74
Brian Carter,1999-03-12,American,C,Rim Protector,SLC,85,260,2021,2023:3400000;2024:3600000;2025:3800000;2026:4000000,68,64,50,78,87,78,91,80,88,66,67,54,58,75,72,69,74,66
Steven Hall,1995-10-24,American,SF,Versatile Wing,SLC,80,215,2017,2023:4700000;2024:4900000;2025:5100000;2026:5300000,72,74,77,84,80,85,80,73,75,77,78,76,77,82,84,75,71,80
Anthony Lewis,1994-06-18,American,PG,Inside Scorer,SLC,73,185,2016,2023:6300000;2024:6500000;2025:6700000;2026:6900000,69,82,80,91,65,77,55,70,68,84,80,88,85,80,79,78,82,84
Derrick Wright,1996-12-29,American,SG,Defensive Specialist,SLC,77,210,2018,2023:4100000;2024:4300000;2025:4500000;2026:4700000,66,71,73,76,72,86,82,76,67,70,72,71,73,80,87,71,68,77
Justin Barnes,1990-09-01,American,PF,Versatile Wing,SLC,83,245,2012,2023:5800000;2024:6000000;2025:6200000;2026:6400000,76,73,79,82,78,72,75,79,80,74,76,73,76,77,73,77,75,79
Kyle Robinson,1998-03-25,American,C,Rim Protector,SLC,86,265,2020,2023:3900000;2024:4100000;2025:4300000;2026:4500000,79,66,54,79,85,82,87,81,86,67,70,60,63,76,74,73,69,70
Mark Johnson,1992-04-10,American,PF,Rim Protector,FAR,82,240,2014,2023:5000000;2024:5200000;2025:5400000;2026:5600000,74,68,63,80,88,79,85,72,85,70,72,65,67,82,83,74,68,76
Eric Daniels,1993-11-15,American,C,Inside Scorer,FAR,84,255,2015,2023:4500000;2024:4700000;2025:4900000;2026:5100000,81,70,58,85,80,75,88,78,83,68,69,59,64,78,71,76,70,69
Greg White,1998-02-20,American,SF,Slasher,FAR,79,220,2020,2023:4200000;2024:4400000;2025:4600000;2026:4800000,77,75,69,82,70,72,60,69,71,75,76,80,78,86,88,79,65,78
Chris King,1996-08-05,American,PG,Floor General,FAR,74,190,2018,2023:6000000;2024:6200000;2025:6400000;2026:6600000,65,78,76,92,60,80,52,68,64,80,83,85,88,81,77,67,80,85
Tom Reed,1997-01-13,American,SG,Sharp Shooter,FAR,76,205,2019,2023:3800000;2024:4000000;2025:4200000;2026:4400000,70,80,88,89,57,64,48,65,70,65,67,77,75,83,85,70,66,81
David Green,1991-07-30,American,PF,Crafty Big,FAR,81,230,2013,2023:5500000;2024:5700000;2025:5900000;2026:6100000,73,77,85,86,76,68,70,74,76,72,75,70,73,79,68,72,77,74
Brian Carter,1999-03-12,American,C,Rim Protector,FAR,85,260,2021,2023:3400000;2024:3600000;2025:3800000;2026:4000000,68,64,50,78,87,78,91,80,88,66,67,54,58,75,72,69,74,66
Steven Hall,1995-10-24,American,SF,Versatile Wing,FAR,80,215,2017,2023:4700000;2024:4900000;2025:5100000;2026:5300000,72,74,77,84,80,85,80,73,75,77,78,76,77,82,84,75,71,80
Anthony Lewis,1994-06-18,American,PG,Inside Scorer,FAR,73,185,2016,2023:6300000;2024:6500000;2025:6700000;2026:6900000,69,82,80,91,65,77,55,70,68,84,80,88,85,80,79,78,82,84
Derrick Wright,1996-12-29,American,SG,Defensive Specialist,FAR,77,210,2018,2023:4100000;2024:4300000;2025:4500000;2026:4700000,66,71,73,76,72,86,82,76,67,70,72,71,73,80,87,71,68,77
Justin Barnes,1990-09-01,American,PF,Versatile Wing,FAR,83,245,2012,2023:5800000;2024:6000000;2025:6200000;2026:6400000,76,73,79,82,78,72,75,79,80,74,76,73,76,77,73,77,75,79
Kyle Robinson,1998-03-25,American,C,Rim Protector,FAR,86,265,2020,2023:3900000;2024:4100000;2025:4300000;2026:4500000,79,66,54,79,85,82,87,81,86,67,70,60,63,76,74,73,69,70
Mark Johnson,1992-04-10,American,PF,Rim Protector,EUG,82,240,2014,2023:5000000;2024:5200000;2025:5400000;2026:5600000,74,68,63,80,88,79,85,72,85,70,72,65,67,82,83,74,68,76
Eric Daniels,1993-11-15,American,C,Inside Scorer,EUG,84,255,2015,2023:4500000;2024:4700000;2025:4900000;2026:5100000,81,70,58,85,80,75,88,78,83,68,69,59,64,78,71,76,70,69
Greg White,1998-02-20,American,SF,Slasher,EUG,79,220,2020,2023:4200000;2024:4400000;2025:4600000;2026:4800000,77,75,69,82,70,72,60,69,71,75,76,80,78,86,88,79,65,78
Chris King,1996-08-05,American,PG,Floor General,EUG,74,190,2018,2023:6000000;2024:6200000;2025:6400000;2026:6600000,65,78,76,92,60,80,52,68,64,80,83,85,88,81,77,67,80,85
Tom Reed,1997-01-13,American,SG,Sharp Shooter,EUG,76,205,2019,2023:3800000;2024:4000000;2025:4200000;2026:4400000,70,80,88,89,57,64,48,65,70,65,67,77,75,83,85,70,66,81
David Green,1991-07-30,American,PF,Crafty Big,EUG,81,230,2013,2023:5500000;2024:5700000;2025:5900000;2026:6100000,73,77,85,86,76,68,70,74,76,72,75,70,73,79,68,72,77,74
Brian Carter,1999-03-12,American,C,Rim Protector,EUG,85,260,2021,2023:3400000;2024:3600000;2025:3800000;2026:4000000,68,64,50,78,87,78,91,80,88,66,67,54,58,75,72,69,74,66
Steven Hall,1995-10-24,American,SF,Versatile Wing,EUG,80,215,2017,2023:4700000;2024:4900000;2025:5100000;2026:5300000,72,74,77,84,80,85,80,73,75,77,78,76,77,82,84,75,71,80
Anthony Lewis,1994-06-18,American,PG,Inside Scorer,EUG,73,185,2016,2023:6300000;2024:6500000;2025:6700000;2026:6900000,69,82,80,91,65,77,55,70,68,84,80,88,85,80,79,78,82,84
Derrick Wright,1996-12-29,American,SG,Defensive Specialist,EUG,77,210,2018,2023:4100000;2024:4300000;2025:4500000;2026:4700000,66,71,73,76,72,86,82,76,67,70,72,71,73,80,87,71,68,77
Justin Barnes,1990-09-01,American,PF,Versatile Wing,EUG,83,245,2012,2023:5800000;2024:6000000;2025:6200000;2026:6400000,76,73,79,82,78,72,75,79,80,74,76,73,76,77,73,77,75,79
Kyle Robinson,1998-03-25,American,C,Rim Protector,EUG,86,265,2020,2023:3900000;2024:4100000;2025:4300000;2026:4500000,79,66,54,79,85,82,87,81,86,67,70,60,63,76,74,73,69,70
Mark Johnson,1992-04-10,American,PF,Rim Protector,TUL,82,240,2014,2023:5000000;2024:5200000;2025:5400000;2026:5600000,74,68,63,80,88,79,85,72,85,70,72,65,67,82,83,74,68,76
Eric Daniels,1993-11-15,American,C,Inside Scorer,TUL,84,255,2015,2023:4500000;2024:4700000;2025:4900000;2026:5100000,81,70,58,85,80,75,88,78,83,68,69,59,64,78,71,76,70,69
Greg White,1998-02-20,American,SF,Slasher,TUL,79,220,2020,2023:4200000;2024:4400000;2025:4600000;2026:4800000,77,75,69,82,70,72,60,69,71,75,76,80,78,86,88,79,65,78
Chris King,1996-08-05,American,PG,Floor General,TUL,74,190,2018,2023:6000000;2024:6200000;2025:6400000;2026:6600000,65,78,76,92,60,80,52,68,64,80,83,85,88,81,77,67,80,85
Tom Reed,1997-01-13,American,SG,Sharp Shooter,TUL,76,205,2019,2023:3800000;2024:4000000;2025:4200000;2026:4400000,70,80,88,89,57,64,48,65,70,65,67,77,75,83,85,70,66,81
David Green,1991-07-30,American,PF,Crafty Big,TUL,81,230,2013,2023:5500000;2024:5700000;2025:5900000;2026:6100000,73,77,85,86,76,68,70,74,76,72,75,70,73,79,68,72,77,74
Brian Carter,1999-03-12,American,C,Rim Protector,TUL,85,260,2021,2023:3400000;2024:3600000;2025:3800000;2026:4000000,68,64,50,78,87,78,91,80,88,66,67,54,58,75,72,69,74,66
Steven Hall,1995-10-24,American,SF,Versatile Wing,TUL,80,215,2017,2023:4700000;2024:4900000;2025:5100000;2026:5300000,72,74,77,84,80,85,80,73,75,77,78,76,77,82,84,75,71,80
Anthony Lewis,1994-06-18,American,PG,Inside Scorer,TUL,73,185,2016,2023:6300000;2024:6500000;2025:6700000;2026:6900000,69,82,80,91,65,77,55,70,68,84,80,88,85,80,79,78,82,84
Derrick Wright,1996-12-29,American,SG,Defensive Specialist,TUL,77,210,2018,2023:4100000;2024:4300000;2025:4500000;2026:4700000,66,71,73,76,72,86,82,76,67,70,72,71,73,80,87,71,68,77
Justin Barnes,1990-09-01,American,PF,Versatile Wing,TUL,83,245,2012,2023:5800000;2024:6000000;2025:6200000;2026:6400000,76,73,79,82,78,72,75,79,80,74,76,73,76,77,73,77,75,79
Kyle Robinson,1998-03-25,American,C,Rim Protector,TUL,86,265,2020,2023:3900000;2024:4100000;2025:4300000;2026:4500000,79,66,54,79,85,82,87,81,86,67,70,60,63,76,74,73,69,70
Mark Johnson,1992-04-10,American,PF,Rim Protector,SDG,82,240,2014,2023:5000000;2024:5200000;2025:5400000;2026:5600000,74,68,63,80,88,79,85,72,85,70,72,65,67,82,83,74,68,76
Eric Daniels,1993-11-15,American,C,Inside Scorer,SDG,84,255,2015,2023:4500000;2024:4700000;2025:4900000;2026:5100000,81,70,58,85,80,75,88,78,83,68,69,59,64,78,71,76,70,69
Greg White,1998-02-20,American,SF,Slasher,SDG,79,220,2020,2023:4200000;2024:4400000;2025:4600000;2026:4800000,77,75,69,82,70,72,60,69,71,75,76,80,78,86,88,79,65,78
Chris King,1996-08-05,American,PG,Floor General,SDG,74,190,2018,2023:6000000;2024:6200000;2025:6400000;2026:6600000,65,78,76,92,60,80,52,68,64,80,83,85,88,81,77,67,80,85
Tom Reed,1997-01-13,American,SG,Sharp Shooter,SDG,76,205,2019,2023:3800000;2024:4000000;2025:4200000;2026:4400000,70,80,88,89,57,64,48,65,70,65,67,77,75,83,85,70,66,81
David Green,1991-07-30,American,PF,Crafty Big,SDG,81,230,2013,2023:5500000;2024:5700000;2025:5900000;2026:6100000,73,77,85,86,76,68,70,74,76,72,75,70,73,79,68,72,77,74
Brian Carter,1999-03-12,American,C,Rim Protector,SDG,85,260,2021,2023:3400000;2024:3600000;2025:3800000;2026:4000000,68,64,50,78,87,78,91,80,88,66,67,54,58,75,72,69,74,66
Steven Hall,1995-10-24,American,SF,Versatile Wing,SDG,80,215,2017,2023:4700000;2024:4900000;2025:5100000;2026:5300000,72,74,77,84,80,85,80,73,75,77,78,76,77,82,84,75,71,80
Anthony Lewis,1994-06-18,American,PG,Inside Scorer,SDG,73,185,2016,2023:6300000;2024:6500000;2025:6700000;2026:6900000,69,82,80,91,65,77,55,70,68,84,80,88,85,80,79,78,82,84
Derrick Wright,1996-12-29,American,SG,Defensive Specialist,SDG,77,210,2018,2023:4100000;2024:4300000;2025:4500000;2026:4700000,66,71,73,76,72,86,82,76,67,70,72,71,73,80,87,71,68,77
Justin Barnes,1990-09-01,American,PF,Versatile Wing,SDG,83,245,2012,2023:5800000;2024:6000000;2025:6200000;2026:6400000,76,73,79,82,78,72,75,79,80,74,76,73,76,77,73,77,75,79
Kyle Robinson,1998-03-25,American,C,Rim Protector,SDG,86,265,2020,2023:3900000;2024:4100000;2025:4300000;2026:4500000,79,66,54,79,85,82,87,81,86,67,70,60,63,76,74,73,69,70
Mark Johnson,1992-04-10,American,PF,Rim Protector,TUC,82,240,2014,2023:5000000;2024:5200000;2025:5400000;2026:5600000,74,68,63,80,88,79,85,72,85,70,72,65,67,82,83,74,68,76
Eric Daniels,1993-11-15,American,C,Inside Scorer,TUC,84,255,2015,2023:4500000;2024:4700000;2025:4900000;2026:5100000,81,70,58,85,80,75,88,78,83,68,69,59,64,78,71,76,70,69
Greg White,1998-02-20,American,SF,Slasher,TUC,79,220,2020,2023:4200000;2024:4400000;2025:4600000;2026:4800000,77,75,69,82,70,72,60,69,71,75,76,80,78,86,88,79,65,78
Chris King,1996-08-05,American,PG,Floor General,TUC,74,190,2018,2023:6000000;2024:6200000;2025:6400000;2026:6600000,65,78,76,92,60,80,52,68,64,80,83,85,88,81,77,67,80,85
Tom Reed,1997-01-13,American,SG,Sharp Shooter,TUC,76,205,2019,2023:3800000;2024:4000000;2025:4200000;2026:4400000,70,80,88,89,57,64,48,65,70,65,67,77,75,83,85,70,66,81
David Green,1991-07-30,American,PF,Crafty Big,TUC,81,230,2013,2023:5500000;2024:5700000;2025:5900000;2026:6100000,73,77,85,86,76,68,70,74,76,72,75,70,73,79,68,72,77,74
Brian Carter,1999-03-12,American,C,Rim Protector,TUC,85,260,2021,2023:3400000;2024:3600000;2025:3800000;2026:4000000,68,64,50,78,87,78,91,80,88,66,67,54,58,75,72,69,74,66
Steven Hall,1995-10-24,American,SF,Versatile Wing,TUC,80,215,2017,2023:4700000;2024:4900000;2025:5100000;2026:5300000,72,74,77,84,80,85,80,73,75,77,78,76,77,82,84,75,71,80
Anthony Lewis,1994-06-18,American,PG,Inside Scorer,TUC,73,185,2016,2023:6300000;2024:6500000;2025:6700000;2026:6900000,69,82,80,91,65,77,55,70,68,84,80,88,85,80,79,78,82,84
Derrick Wright,1996-12-29,American,SG,Defensive Specialist,TUC,77,210,2018,2023:4100000;2024:4300000;2025:4500000;2026:4700000,66,71,73,76,72,86,82,76,67,70,72,71,73,80,87,71,68,77
